count,x,y,z,time
886,0.789661,-0.896661,-0.0013157,1189
813,0,0,0,1190
512,0.786189,-0.955418,-0.00809341,1191
955,0,0,0,1192
73,0.779399,-1.01009,-0.0148365,1193
67,0,0,0,1194
638,0.769615,-1.06082,-0.0215218,1195
53,0,0,0,1196
328,0.757106,-1.10774,-0.0281296,1197
684,0,0,0,1198
758,0.742105,-1.15094,-0.0346432,1199
693,0,0,0,1200
781,0.72481,-1.19052,-0.0410476,1201
381,0,0,0,1202
603,0.705394,-1.22654,-0.0473294,1203
80,0,0,0,1204
880,0.684009,-1.25906,-0.053476,1205
227,0,0,0,1206
115,0.660788,-1.28813,-0.0594758,1207
782,0,0,0,1208
757,0.635852,-1.31376,-0.0653171,1209
142,0,0,0,1210
982,0.609309,-1.33597,-0.0709889,1211
233,0,0,0,1212
619,0.581257,-1.35479,-0.0764796,1213
639,0,0,0,1214
97,0.551786,-1.37019,-0.0817777,1215
121,0,0,0,1216
606,0.520978,-1.38216,-0.0868713,1217
717,0,0,0,1218
532,0.488912,-1.39068,-0.0917477,1219
208,0,0,0,1220
378,0.455662,-1.3957,-0.0963934,1221
790,0,0,0,1222
282,0.421297,-1.39717,-0.100794,1223
8,0,0,0,1224
544,0.385886,-1.39503,-0.104934,1225
451,0,0,0,1226
844,0.349496,-1.38919,-0.108795,1227
77,0,0,0,1228
599,0.312196,-1.37955,-0.11236,1229
784,0,0,0,1230
988,0.274055,-1.366,-0.115605,1231
248,0,0,0,1232
729,0.235147,-1.3484,-0.118509,1233
86,0,0,0,1234
948,0.195547,-1.3266,-0.121042,1235
627,0,0,0,1236
755,0.155344,-1.30038,-0.123173,1237
847,0,0,0,1238
409,0.114631,-1.26954,-0.124866,1239
925,0,0,0,1240
180,0.0735215,-1.23381,-0.126077,1241
808,0,0,0,1242
39,0.0321454,-1.19286,-0.126756,1243
267,0,0,0,1244
520,-0.00933702,-1.14633,-0.126841,1245
181,0,0,0,1246
264,-0.0507259,-1.09374,-0.126256,1247
216,0,0,0,1248
68,-0.0917635,-1.03453,-0.124908,1249
808,0,0,0,1250
960,-0.132107,-0.968008,-0.122675,1251
688,0,0,0,1252
714,-0.171286,-0.893269,-0.119402,1253
57,0,0,0,1254
962,-0.208623,-0.809157,-0.114876,1255
701,0,0,0,1256
524,-0.2431,-0.714124,-0.108799,1257
885,0,0,0,1258
185,-0.273086,-0.606025,-0.100732,1259
747,0,0,0,1260
878,-0.295747,-0.481773,-0.0899793,1261
512,0,0,0,1262
432,-0.305592,-0.336715,-0.0753413,1263
548,0,0,0,1264
399,-0.290114,-0.163803,-0.0544707,1265
108,0,0,0,1266
593,-0.21351,0.0435963,-0.022132,1267
499,0,0,0,1268
221,0.0277078,0.217392,0.0272658,1269
728,0,0,0,1270
676,0.248132,0.227697,0.0561581,1271
350,0,0,0,1272
876,0.418101,0.19166,0.0736211,1273
182,0,0,0,1274
913,0.554603,0.140262,0.0851833,1275
605,0,0,0,1276
215,0.66793,0.0829917,0.0931792,1277
456,0,0,0,1278
903,0.764057,0.0235786,0.0987693,1279
20,0,0,0,1280
1000,0.846712,-0.0362517,0.102612,1281
591,0,0,0,1282
521,0.918387,-0.0956099,0.105119,1283
579,0,0,0,1284
420,0.980838,-0.154003,0.106565,1285
382,0,0,0,1286
218,1.03535,-0.211144,0.107144,1287
465,0,0,0,1288
777,1.08291,-0.266857,0.106999,1289
993,0,0,0,1290
894,1.12428,-0.321033,0.106238,1291
926,0,0,0,1292
950,1.16007,-0.373602,0.104944,1293
603,0,0,0,1294
79,1.19076,-0.424518,0.103187,1295
544,0,0,0,1296
64,1.21678,-0.473749,0.10102,1297
453,0,0,0,1298
494,1.23845,-0.521271,0.098488,1299
814,0,0,0,1300
737,1.25606,-0.567067,0.0956303,1301
566,0,0,0,1302
989,1.26986,-0.611121,0.0924788,1303
4,0,0,0,1304
294,1.28005,-0.653417,0.0890613,1305
10,0,0,0,1306
13,1.28681,-0.693941,0.0854022,1307
571,0,0,0,1308
549,1.2903,-0.732675,0.0815229,1309
246,0,0,0,1310
537,1.29064,-0.769601,0.0774424,1311
344,0,0,0,1312
124,1.28797,-0.804697,0.0731777,1313
555,0,0,0,1314
319,1.28237,-0.837938,0.0687444,1315
403,0,0,0,1316
917,1.27393,-0.869297,0.0641566,1317
392,0,0,0,1318
691,1.26273,-0.898741,0.0594276,1319
582,0,0,0,1320
517,1.24883,-0.926235,0.0545695,1321
26,0,0,0,1322
302,1.2323,-0.951736,0.0495941,1323
911,0,0,0,1324
926,1.21316,-0.975198,0.0445124,1325
681,0,0,0,1326
233,1.19147,-0.996568,0.0393352,1327
403,0,0,0,1328
504,1.16725,-1.01579,0.0340731,1329
918,0,0,0,1330
728,1.14052,-1.03278,0.0287366,1331
68,0,0,0,1332
401,1.11131,-1.04749,0.0233361,1333
947,0,0,0,1334
512,1.07961,-1.05981,0.0178827,1335
152,0,0,0,1336
517,1.04543,-1.06965,0.0123874,1337
4,0,0,0,1338
557,1.00877,-1.07691,0.0068621,1339
469,0,0,0,1340
94,0.969602,-1.08145,0.00131952,1341
625,0,0,0,1342
122,0.927919,-1.08313,-0.00422655,1343
768,0,0,0,1344
